Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1573857326.2833004,63945,729,74317590,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0009321063815277333,-0.005992112452678286,0.012783173232380343,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.3630770385742186,0.6057330200195312,8.482656481933594,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.286637,63946,729,84317500,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0033289513625990473,-0.02024002428460221,0.012916331286884304,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.370259643554687,0.7110778930664062,8.444349255371094,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.2884903,63947,729,94317730,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.006125270507182248,-0.012916331286884304,0.014247911831923924,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.0566192260742184,0.6200982299804687,8.396465222167969,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.2984276,63948,729,104317760,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005459480234662438,0.004527373853134705,0.02157160482964183,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.927332336425781,0.8116343627929687,8.576030346679687,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3085184,63949,729,114317490,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.013182647395892227,0.01810949541253882,0.017843179303530896,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.3056161987304686,0.9504980590820312,8.355763793945313,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3184254,63950,729,124317760,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.016245282649483352,0.011584750741844684,0.01344896350490015,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.636016027832031,0.8690952026367187,8.180987072753906,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3287404,63951,729,134317820,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.012383699068868458,-0.01265001517787638,0.01251685712337242,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.6431986328124997,0.9504980590820312,8.75320126953125,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3388524,63952,729,144317460,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.008788431597261486,-0.02024002428460221,0.017044230976507122,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.243366955566406,0.8188169677734375,8.449137658691406,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3488557,63953,729,154317870,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.009986854087797143,-0.007989483270237714,0.018775285685058627,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.8914193115234375,1.22583125,8.573636145019531,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.3589752,63954,729,164317460,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01265001517787638,0.016644756812995237,0.017843179303530896,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.3247698120117186,1.4508862060546874,8.578424548339843,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
